"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "Python", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\functions\datapointConfigs\list.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 9, 51
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\functions\datapointConfigs\update.ts", "TypeScript", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 11, 72
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\functions\datapointConfigs\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 5, 72
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\functions\dbPing\index.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 12, 77
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\functions\fileRecords\index.ts", "TypeScript", 0, 0, 0, 0, 0, 457, 0, 0, 0, 0, 0, 94, 551
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\functions\glUpload\index.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\functions\health\index.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\functions\index.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\functions\industries\index.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\functions\mappingSuggest\index.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\functions\masterclients\index.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\functions\userClients\index.ts", "TypeScript", 0, 0, 0, 0, 0, 475, 0, 0, 0, 0, 0, 67, 542
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\http.ts", "TypeScript", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 2, 19, 101
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\openapi.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 56
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\repositories\AGENTS.md", "Markdown", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 140
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\repositories\chartOfAccountsRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 6, 44
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\repositories\clientEntityRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 9, 58
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\repositories\clientFileEntityRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 19, 190
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\repositories\clientFileRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 409, 0, 0, 0, 0, 0, 59, 468
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\repositories\clientFileSheetRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 0, 19, 255
